title,description,published,link,text
Any Canadians at Burning Man 2023? We want to hear from you,"If you were a Canadian at Burning Man these past several days, CTVNews.ca wants to hear from you.","Tue, 5 Sep 2023 11:51:00 -0400",https://www.ctvnews.ca/canada/any-canadians-at-burning-man-2023-we-want-to-hear-from-you-1.6548216, thousands of people venture annually for a weeklong off grid festival in nevada but none predicted this years events muddy roads from heavy rainfall left nearly 80000 partygoers artists musicians and activists stranded for days at the counterculture festival after more than 13 centimetres of rain fell on friday due to the flooding people were urged to conserve their food and water by monday the mud had dried up enough to allow festivalgoers the chance to begin their exodus from the northern nevada desert burning man organizers said traffic flow out of the main road began around 2 pm local time and about 64000 people remained at the festival site by the afternoon at least one fatality has been reported but organizers said the death of a man in his 40s wasnt weather related disruptions are part of the events recent history dust storms forced organizers to close entrances to the festival temporarily in 2018 and the event was cancelled twice during the pandemic the event began aug 27 and had been scheduled to end monday if you are a canadian that attended burning man these past several days ctvnewsca wants to hear from you what was it really like to be at burning man over the weekend how was your experience at the festival how did you react when you heard you couldnt leave the festival grounds what about the mud did you have enough food supplies and water to last until monday share your experience by emailing us at dotcom@bellmediaca with your name general location and phone number in case we want to follow up your comments may be used in a ctvnewsca story with files from the associated press 
"Police, city officials to testify in 'Freedom Convoy' organizers' trial","Police, city officials and former mayor Jim Watson will be among 22 witnesses called at the criminal trial of 'Freedom Convoy' organizers Tamara Lich and Chris Barber.","Tue, 5 Sep 2023 06:55:00 -0400",https://www.ctvnews.ca/canada/police-city-officials-to-testify-in-freedom-convoy-organizers-trial-1.6547836, police city officials and former ottawa mayor jim watson will be among 22 witnesses called at the criminal trial of freedom convoy organizers tamara lich and chris barber as their trial got underway at the ottawa courthouse tuesday crown attorney tim radcliffe said he will also submit more than 100 exhibits that will include dozens of videos photos and letters from the freedom convoy protest which gridlocked the city of ottawa in winter 2022 given the mountain of material expected at the trial the opening morning was largely spent with lawyers explaining how they expect the trial to unfold over 16 days of testimony were trying to put this case on the rails justice heather perkins mcvey told the court jim watson who was the mayor of ottawa during the protest was at the courthouse tuesday and confirmed he expects to testify lich and barber were part of the original group that mobilized a convoy of big rigs and other trucks and cars to drive to ottawa in winter 2022 to protest covid 19 public health restrictions and the liberal government hundreds of vehicles blocked downtown streets and thousands of protesters entrenched themselves for three weeks hosting all night parties with open fires honking their horns at all hours and filing the streets with the smell of diesel the protest inspired similar demonstrations at several international border crossings and precipitated the first invocation of the federal emergencies act since the legislation was created in 1988 lich and barber are co accused both charged with mischief obstructing police counselling others to commit mischief and intimidation barber who owns a trucking company in saskatchewan is also charged with counselling others to disobey a court order that banned loud honking in ottawas downtown core the crown hopes to establish that barber and lich worked together in lockstep so that evidence against one of them will apply to both the two sat in the first row of seats behind their lawyers to answer to the charges tuesday the rest of the benches in the courtroom are crowded with about 50 supporters news reporters and lawyers the trial is being held strictly in person with no option to view the proceedings virtually given the public interest in the case perkins mcvey said she requested the largest courtroom in the ontario court of justice to allow as many people as possible to watch lich was greeted outside the courthouse tuesday by a small crowd of supporters and reporters but would only say good morning as she walked past and into the building she arrived in a navy blue suit and crisp white shirt barber arrived in a plaid shirt and jeans one supporter on the sidewalk held a freedom sign upside down another carried sign that read i support chris barber on one side and i support tamara lich on the other inside the courthouse a man in the crowd of supporters wore a free tamara t shirt during the federal inquiry into the use of the emergencies act last year barber testified that the idea for the protest was initially born out of a conversation between him and another truck driver over the social media platform tiktok the two truckers had vented about federal vaccine mandates for cross border truck drivers and spoke about launching a protest as the weeks passed more and more people became involved in planning a demonstration and the aim of the protest expanded to include the elimination of all pandemic public health measures and for some factions of the protest the overthrow of canadas elected government lich a former member of the western independence movement in alberta joined the growing group of organizers to help them with their social media presence and started an online fundraiser that ultimately garnered $101 million in donations she gradually became a figurehead of the movement just a few days into the protest keith wilson the organizers lawyer introduced her as the spark that lit the fire of the freedom convoy both lich and barber were arrested on the eve of a massive operation to forcibly remove protesters from the streets around parliament hill after the liberals declared a national emergency under the emergencies act and approved special powers for police barber was immediately released on bail but lich was held in jail for a total of 49 days before her trial 	chris barber walking into court says he’s “excited” pictwittercom ggu0twk3qh 	tamara lich and lawyer lawrence greenspon walk into court raw footage from my cell phone  pictwittercom kqhuy2esuy this report by the canadian press was first published sept 5 2023
Ontario Premier Doug Ford says his government will 're-evaluate' more Greenbelt lands,"Ontario Premier Doug Ford says his government will “re-evaluate” Greenbelt land, including hundreds of additional applications for land removal, which could result in further changes to the protected land.","Tue, 5 Sep 2023 06:32:00 -0400",https://toronto.ctvnews.ca/ontario-premier-doug-ford-says-his-government-will-re-evaluate-more-greenbelt-lands-1.6547804, ontario premier doug ford says his government will “re evaluate” greenbelt land including hundreds of additional applications for land removal which could result in further changes to the protected land the evaluation is part of a larger review mandated by the previous liberal government which legislated in 2025 that greenbelt lands should be reviewed every 10 years ford said it will also be one of the first tasks for new housing minister paul calandra who comes to the position after the resignation of steve clark from cabinet the premier said it will be up to the new housing minister to decide after the review is complete whether further greenbelt land will be removed “theres going to be a complete review from top to bottom and theyre gonna have to stand on their own merit and its not just the 14 lands its gonna be the seven or 800 lands right across the board” ford told reporters on wednesday when asked for details about what it means to “stand on their own merit” the premier wouldn’t provide further details “were putting together a process a process through government officials that were going to make sure the ts are crossed and the is are dotted were gonna make sure that theres merit to every application that comes forward” an auditor general report released last month found that among other things the criteria for what lands were chosen for development were altered after most of the proposed sites were found not to fit the parameters some of the proposed sites were also changed in order to fit the minimum criteria set forth by the government the 15 sites originally selected by the province for development will also be reviewed by a provincial facilitator ford said the premier has already decided that one site in ajax should be returned to the greenbelt after discovering the developer had listed the property for sale rather than build housing despite the re evaluation ford said that progress will continue on developing the 14 remaining sites and that the assigned facilitator will ensure that developers include community centers hospitals parks and long term care on their property ford told reporters he will release his agreements with developers once they have been finalized “were going to show how these builders these landowners are going to spend billions of dollars and supporting the community that theyre building” he said this is a developing news story more to come
"Students head back to school with climate change, AI and affordability top of mind","Many students are likely feeling a mixture of nerves and excitement today as they begin another school year. With disruptive pandemic measures seemingly behind them, parents and educators say a new crop of issues may affect classroom learning this year, including AI technology, affordability and climate change.","Tue, 5 Sep 2023 06:14:58 -0400",https://www.ctvnews.ca/canada/students-head-back-to-school-with-climate-change-ai-and-affordability-top-of-mind-1.6547788, many students are likely feeling a mixture of nerves and excitement today as they begin another school year with disruptive pandemic measures seemingly behind them parents and educators say a new crop of issues may affect classroom learning this year including ai technology affordability and climate change while across much of the country its set to be a first day of school like any other those in parts of canada ravaged by wildfires return to a much different landscape the government of british columbia has said no schools were damaged by the fires that tore through parts of the province but that doesnt mean students will be unaffected the flames passed close by some schools in kelowna bc leaving destruction in their wake for residents of yellowknife however summer break has been extended typically students would have returned to their classrooms on aug 28 but the city is still under an evacuation order as fires continue their burn so school will have to wait this report by the canadian press was first published sept 5 2023
Yellowknife evacuees hopeful they'll be allowed to return home Sept. 6 as planned,Yellowknife residents are crossing their fingers that tomorrow's scheduled lifting of a general evacuation order will go ahead as planned and they'll be allowed to return home.,"Tue, 5 Sep 2023 07:08:23 -0400",https://www.ctvnews.ca/canada/yellowknife-evacuees-hopeful-they-ll-be-allowed-to-return-home-sept-6-as-planned-1.6547849, yellowknife residents are crossing their fingers that tomorrows scheduled lifting of a general evacuation order will go ahead as planned and theyll be allowed to return home the lifting of the order remains contingent on fire and highway conditions but nwt wildfire information officer mike westwick said yesterday that no challenges are expected for highway 1 for the next few days yellowknife city manager sheila bassi kellett says workers in grocery stores pharmacies home heating providers and even some taxi drivers and daycare providers are on their way back to the city in advance of tomorrow bassi kellett notes the city is getting ready for people clearing three weeks of food out of their refrigerators residents have already been advised they should prepare to be self reliant for 72 hours upon their return nwt emergency management organization information officer jay boast says over 2000 people have pre registered for re entry flights following a call to do so saturday so the territory would know how many flights theyll need   this report by the canadian press was first published sept 5 2023
Maine resident captures nature in action in N.B. as shark snacks on whale carcass,"Paul Keller was sitting on the back porch of his rented cottage when he spotted a great white shark feeding on a whale carcass near Campobello Island, N.B.","Tue, 5 Sep 2023 07:00:00 -0400",https://atlantic.ctvnews.ca/maine-resident-captures-nature-in-action-in-n-b-as-shark-snacks-on-whale-carcass-1.6547840, paul keller was sitting on the back porch of his rented cottage by the bay of fundy sipping his morning coffee when he spotted some commotion in the water perhaps the splash of a flipper he figured or something washing up against a rock through his binoculars he realized he had spotted a rare scene of ocean carnage    a great white shark feeding on a whale carcass that was kind of an odd strange sensation to see said the bi vocational pastor who lives in china maine at first i thought it was some sort of flipper or something rubbing against the rock then i saw the fin of what became the shark then i thought wow ok this is something you dont see every day at least ive never seen keller and his wife usually spend at least a week every year in the summer by campobello island this year they were in new brunswick from aug 26 to 31 the morbid monday morning scene about 7 1 2 metres from the shore showed the shark taking bites out of the whale and eating it the whales intestine was kind of hanging out he said it was surreal the 22 second video filmed by keller shows a black and white shark head chomping on a brownish mass in the splashing waters dr chris harvey clark a veterinarian at dalhousie university who saw the video said he would identify the animal as a great white shark by its head shape mouth size and position eye position colour and its overall size the fundy region is noted for this species seasonal presence he said the shark is likely feeding on a minke whale or a humpback whale or a north atlantic right whale he said the size of the carcass looks too big to be a pilot whale he added past studies have shown that great white sharks will stay in the vicinity of such a carcass and feed for days harvey clark said that begs the question what do sharks enjoy i think they certainly like a very fatty high energy density blubber rich food source like a whale carcass its a floating all you can eat buffet he said its the ultimate free meal no need to hunt capture prey with risks to eyes and other body parts from fractious seals you can feed when you want to while it was a cool sight keller said the episode was more of a human interaction story which he shared with others making friends and connections another young man an aeronautical engineer who i met on the ferry said well that video should go viral i dont even really know what that means he said describing one interaction with a laugh i think more than anything once we see something and were able to share it with others and that interaction back and forth and wow isnt that neat you know great moments are meant to be shared so im grateful for that this report by the canadian press was first published sept 2 2023
"Trial of Nathaniel Veltman, accused in London vehicle attack, begins today","The trial of Nathaniel Veltman, who is facing terror-related murder charges, started Tuesday in Windsor as jury selection gets underway.","Tue, 5 Sep 2023 05:29:00 -0400",https://windsor.ctvnews.ca/trial-of-nathaniel-veltman-accused-in-london-vehicle-attack-begins-today-1.6547431, the trial of nathaniel veltman who is facing terror related murder charges started tuesday in windsor as jury selection gets underway the 22 year old is accused of killing four members of the afzaal family who were struck by a pickup truck on june 6 2021 the family of five was out for a walk along hyde park road in west london when they were allegedly rundown 		to begin veltman is arraigned on the charges so each person in court is aware of the offences in each of the 5 counts veltmans’ lawyer christopher hicks answers for him “not guilty” salman afzaal 46 his 44 year old wife madiha salman their 15 year old daughter yumna and her 74 year old grandmother talat afzaal were killed a young boy now 11 years old was the lone survivor veltman was arrested moments after the crash according to the indictment against him veltman is facing four counts of first degree murder and one count of attempted murder in an alleged act of terroristm in june 2021 prosecutors informed veltman that they had received consent to pursue terrorism charges under section 83 of the criminal code a 2018 report from public safety canada states that as of that year 55 individuals had been charged with terrorism related offences since they became a specific part of the criminal code in 2001 a change of venue was granted by justice renee pomerance last fall which moved the trial to windsor the reasons for that decision as well as the evidence and arguments presented in court cannot be disclosed due to a publication ban the attack on the afzaal family in london sent waves of shock grief and fear across canada and drove ongoing calls for measures to combat islamophobia after the attack the national council of canadian muslims nccm released a list of recommendations to fight anti muslim hate across canada including calling on both federal and provincial governments to commit to anti islamophobia strategies in education and offer resources to fight anti muslim hate  representatives from the nccm and members of the muslim community of london held a news conference addressing the upcoming trial outside the windsor superior courthouse tuesday morning 		before jury selection began the national council of canadian muslims held a news conference the afzaal family is asking for privacy and didn’t attend but the nccm is hopeful “justice will be served” to send a message that hate will not be tolerated in canada 		the nccm declined to refer to the accused by his name they say this trial should be “victim centric” and not lose sight of the 4 four family members killed for “just being” jury selection is expected to take a few days and a total of 10 weeks has been set aside for the proceedings 		crown attorney fraser ball is now reading out the list of potential witnesses including more than 2 dozen officers from london police plus a few from strathroy and windsor police services 				they’ve selected 12 people who now move to the jury room while they pull another 12 names before moving forward with more detailed questions of the jurors    with files from the canadian press ctv london’s nick paparella and ctvnewsca’s ryan flanagan  
N.B. parents worry of bullying at school because of changes to gender identity policy,Some families of students heading back to school in New Brunswick are worried about bullying because of the province's changes to the policy on gender identity in schools.,"Tue, 5 Sep 2023 11:25:00 -0400",https://atlantic.ctvnews.ca/n-b-parents-worry-of-bullying-at-school-because-of-changes-to-gender-identity-policy-1.6548153, some families of students heading back to school in new brunswick are worried about bullying because of the provinces changes to the policy on gender identity in schools policy 713 says students under 16 who are questioning their gender identity must get parental consent before teachers can use their preferred first names or pronouns shawn and amanda rouse parents of a transgender teen in quispamsis nb say their child has faced an increase in bullying since last spring when the government first announced the changes to the policy amanda rouse says her 14 year old has been called slurs and told to kill himself she says the bullying is a heavy burden for her child to carry and expects it to continue as schools reopen from summer break new brunswick education minister bill hogan has maintained the core elements of the policy despite a report saying it violates childrens charter rights this report by the canadian press was first published sept 5 2023
Stefanson to launch campaign Tuesday for Oct. 3 election,WINNIPEG -- Manitoba Premier Heather Stefanson is expected to call an election Tuesday in a bid for a third consecutive Progressive Conservative majority.,"Mon, 4 Sep 2023 10:49:00 -0400",https://winnipeg.ctvnews.ca/stefanson-to-launch-campaign-tuesday-for-oct-3-election-1.6547177, winnipeg    manitoba premier heather stefanson is expected to call an election tuesday in a bid for a third consecutive progressive conservative majority opinion polls suggest it will be an uphill battle the governing tories saw their poll numbers drop sharply during the covid 19 pandemic as some patients had to be flown to other provinces due to a lack of beds they also faced widespread public criticism over a plan to eliminate elected school boards under stefansons predecessor brian pallister stefanson who took over after pallisters retirement two years ago immediately killed that plan she also promised a more conciliatory approach than her predecessor and loosened the government purse strings after years of financial restraint one political analyst said stefansons approach has worked to some extent she is a less divisive leader and recent initiatives have defused to some extent the anger that was attached to the pc government paul thomas professor emeritus of political studies at the university of manitoba said in an interview its not that people have completely forgotten just that the intensity of the anger has subsided somewhat recent opinion polls suggest the ndp lead in popularity has narrowed however the most recent quarterly survey by probe research inc suggested the ndp held a 12 point lead in winnipeg the city is home to 32 of the 57 legislature seats and its suburban neighbourhoods are normally where elections are won and lost ndp leader wab kinew will lead the opposition party into an election for a second time and would become the provinces first first nations premier if he wins the ndp has focused much of its messaging on health care and has also spent time on pocketbook issues such as utility bills and electric vehicle subsidies kinew has managed to carve out a moderate platform so far thomas said in part by making promises that include a pledge to not defund police agencies kinew i think has done what he needed to do to appeal to the moderate middle of the voting population in manitoba thomas said still thomas said the election looks to be a much closer contest now than it did a year ago the tories have accused kinew of making spending promises that would require tax hikes and add to the provinces fiscal troubles with the exception of a razor thin $5 million surplus in 2019 manitoba has been running deficits every year since 2009 the liberals will also be campaigning for a second consecutive time under their leader dougald lamont the liberals have three legislature seats and have not seen any improvement in polling numbers in years while the pandemic strain on hospitals has subsided other issues have come to the fore in recent months  health care staffing shortages remain while the government has promised better recruitment and retention crime rates have risen and an ongoing protest camp downtown demanding a landfill search for the remains of indigenous women has captured national attention police believe the remains of morgan harris and marcedes myran were taken to the privately run prairie green landfill north of winnipeg last year a man has been charged in those deaths as well as those of two others    rebecca contois whose partial remains were found in a different landfill and an unidentified woman indigenous leaders are calling mashkoda bizhikiikwe or buffalo woman whose remains have not been found stefanson rejected the idea of searching the prairie green landfill after a feasibility study said a search was possible although it would have no guarantee of success and searchers would need protection from toxic material she also said it could jeopardize the judicial process the new democrats and liberals have promised to ensure a search is conducted the assembly of manitoba chiefs called last month for stefansons resignation this report by the canadian press was first published sept 4 2023
Air Canada apologizing to customers after seats were reportedly soiled with vomit on flight to Montreal,Air Canada says it is apologizing to customers after passengers' seats were reportedly soiled with vomit on a flight from Las Vegas to Montreal.,"Mon, 4 Sep 2023 18:28:00 -0400",https://montreal.ctvnews.ca/air-canada-apologizing-to-customers-after-seats-were-reportedly-soiled-with-vomit-on-flight-to-montreal-1.6547493, air canada says it is apologizing to customers after passengers seats were reportedly soiled with vomit on a flight from las vegas to montreal a woman who says she was a passenger on the aug 26 flight wrote in a social media post that the plane’s crew “placed coffee grinds in the seat pouch and sprayed perfume to mask the smell” of vomit prior to boarding “when the clearly upset passengers tried to explain to the flight attendant that the seat and seatbelt were wet and there was still visible vomit residue in their area the flight attendant was very apologetic but explained that the flight was full and there was nothing they could do” wrote susan benson on tuesday aug 29 the flight from las vegas to montreal clocks in at over four hours benson wrote the passengers were given blankets wipes and more sick bags when they got settled in according to benson the pilot approached them and asked them to leave then “the pilot got up and walked to the front of the plane alleged benson next thing we know security comes down the aisle and escorted the two ladies off the plane”  ctv news reached out to air canada to confirm benson’s story in response the airline said it was “reviewing this serious matter internally and had followed up with the customers directly” “our operating procedures were not followed correctly in this instance” wrote the air canada which added that it has apologized to the customers involved “they clearly did not receive the standard of care to which they were entitled” the airline added “we remain in contact with them about this matter” 
